
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file get-ci-ids.cql 

+------------------------------------------------------+
| x.full_node_name                             | ID(x) |
| "ndqbd410.via.novonet"                       | 3851  |
| "ndqbl201.via.novonet"                       | 3852  |
| "ndqbl202.via.novonet"                       | 3853  |
| "ndqbl203.via.novonet"                       | 3854  |
| "ndqbl204.via.novonet"                       | 3855  |
| "ndqbl205.via.novonet"                       | 3856  |
| "ndqbl206.via.novonet"                       | 3857  |
| "ndqbl207.via.novonet"                       | 3858  |
| "ndqbl208.via.novonet"                       | 3859  |
| "ndqbl209.via.novonet"                       | 3860  |
| "ndqbl210.via.novonet"                       | 3861  |
| "ndqbp401.via.novonet"                       | 3862  |
| "ndqbp402.via.novonet"                       | 3863  |
| "ndqbp403.via.novonet"                       | 3864  |
| "ndqbp404.via.novonet"                       | 3865  |
| "ndqbp405.via.novonet"                       | 3866  |
| "ndqbp406.via.novonet"                       | 3867  |
| "ndqbp407.via.novonet"                       | 3868  |
| "ndqbp408.via.novonet"                       | 3869  |
| "ndqbp409.via.novonet"                       | 3870  |
| "ndqbp410.via.novonet"                       | 3871  |
| "robo1-frame7.via.novonet"                   | 4512  |
| "robo1-frame8.via.novonet"                   | 4513  |
| "robo1-frame9.via.novonet"                   | 4514  |
| "robo1-vts.via.novonet"                      | 4515  |
| "robo1.via.novonet"                          | 4516  |
| "robo11-cx-1.via.novonet"                    | 4517  |
| "robo11-fr2-ctl.via.novonet"                 | 4518  |
| "robo11-fr2-dr0.via.novonet"                 | 4519  |
| "robo11-fr2-dr1.via.novonet"                 | 4520  |
| "robo11-fr2-dr2.via.novonet"                 | 4521  |
| "robo11-fr4-dr0.via.novonet"                 | 4522  |
| "robo11-fr4-dr1.via.novonet"                 | 4523  |
| "robo11-fr4-dr2.via.novonet"                 | 4524  |
| "robo11-fr4-dr3.via.novonet"                 | 4525  |
| "robo11-fr4-dr4.via.novonet"                 | 4526  |
| "robo11-fr4-dr5.via.novonet"                 | 4527  |
| "robo11-fr5-ctl.via.novonet"                 | 4528  |
| "robo11-fr5-dr0.via.novonet"                 | 4529  |
| "robo11-fr5-dr1.via.novonet"                 | 4530  |
| "robo11-fr5-dr2.via.novonet"                 | 4531  |
| "robo11-fr5-dr3.via.novonet"                 | 4532  |
| "robo11-fr6-ctl.via.novonet"                 | 4533  |
| "robo11-fr6-dr0.via.novonet"                 | 4534  |
| "robo11-fr6-dr1.via.novonet"                 | 4535  |
| "robo11-fr6-dr2.via.novonet"                 | 4536  |
| "robo11-fr7-dr0.via.novonet"                 | 4537  |
| "robo11-fr7-dr1.via.novonet"                 | 4538  |
| "robo11-fr7-dr10.via.novonet"                | 4539  |
| "robo11-fr7-dr11.via.novonet"                | 4540  |
| "robo11-fr7-dr2.via.novonet"                 | 4541  |
| "robo11-fr7-dr3.via.novonet"                 | 4542  |
