
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:paf (ukgi) prd hpp"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:staff pensions ps prd hpg"                    | 3                 | ["Windows"]                               |
| "aviva uk:securewave prd hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:direct sales systems prd hpg"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:guidewire policy center uat hps"              | 5                 | ["Linux"]                                 |
| "aviva uk:aries (ukgi) uat hps"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:rostrvm (db) dev hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:ids dev hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:midrange ldap prd hpg"                        | 2                 | ["AIX"]                                   |
| "aviva uk:robohelp prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:cvh uat hps(x)"                               | 1                 | ["Windows"]                               |
| "aviva uk:solaris management (ai) prd hps"              | 3                 | ["SunOS/Solaris"]                         |
| "aviva uk:mainframe aviva france dev hps"               | 1                 | ["z/OS"]                                  |
| "aviva uk:income distribution prd hpg"                  | 2                 | ["Windows"]                               |
| "aviva uk:investment & protection esb (ukl) dev hps"    | 1                 | ["AIX"]                                   |
| "aviva uk:assyst import processor dev hpb"              | 3                 | ["Windows"]                               |
| "aviva uk:assyst dw bridge dev hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:tam 6 (ecommerce) pre hpg"                    | 14                | ["AIX","HP-UX","Other"]                   |
| "aviva uk:domain services dc prd hpg"                   | 20                | ["Windows"]                               |
| "aviva uk:oracle hr discoverer tst hpb"                 | 3                 | ["AIX"]                                   |
| "aviva uk:group ftp prd hpg(x)"                         | 2                 | ["AIX"]                                   |
| "aviva uk:mosar dev hps"                                | 1                 | ["z/OS"]                                  |
