
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:wipro tools vms bhive prd hps"                | 2                 | ["Windows"]                               |
| "aviva uk:online it service centre prd hps"             | 2                 | ["Windows"]                               |
| "aviva uk:pra viewer prd hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:plant safety prd hpp"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:klipfolio-change prd hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - santander tst hps"         | 1                 | ["AIX"]                                   |
| "aviva uk:exceed policy warranty prd hps(x)"            | 6                 | ["Windows"]                               |
| "aviva uk:message broker (ai) uat3 hpb"                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:sas web olap viewer prd hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:midrange model office hpb"                    | 2                 | ["Linux"]                                 |
| "aviva uk:bmi db prd hpg"                               | 2                 | ["AIX"]                                   |
| "aviva uk:business objects (agc) tst hps"               | 3                 | ["Windows","VMWare"]                      |
| "aviva uk:virtual management prd hps"                   | 14                | ["Windows","VMWare"]                      |
| "aviva uk:guidewire policy center pre hpg"              | 12                | ["Linux"]                                 |
| "aviva uk:document capture prd hpg(x)"                  | 2                 | ["Windows"]                               |
| "aviva uk:ukdi travel quote & buy prv hps"              | 2                 | ["Windows"]                               |
| "aviva uk:sdc db prd hpg"                               | 2                 | ["AIX"]                                   |
| "aviva uk:hawkeye pre hpg"                              | 2                 | ["AIX"]                                   |
| "aviva uk:prosper b2b life - rbsg dev2 hps"             | 3                 | ["AIX","Other"]                           |
| "aviva uk:pci uat hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:annuity valuation prd hpg"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:accumulation prd hpp"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:siebel 8 (ukhe) sit hps"                      | 2                 | ["Windows","VMWare"]                      |
| "aviva uk:prosper b2c life - tesco uat hps"             | 4                 | ["AIX","Other"]                           |
| "aviva uk:oracle fin discoverer tst hpb"                | 5                 | ["AIX","Other"]                           |
| "aviva uk:epic dev hpb"                                 | 1                 | ["Windows"]                               |
| "aviva uk:cs bulk data download prd hps"                | 3                 | ["Windows"]                               |
| "aviva uk:virtual host (ai) prd hpg"                    | 4                 | ["VMWare"]                                |
| "aviva uk:gi client uat hps"                            | 2                 | ["z/OS"]                                  |
| "aviva uk:gacs prd hpg"                                 | 2                 | ["z/OS"]                                  |
| "aviva uk:tam 6 (ecommerce) prd hpg"                    | 8                 | ["AIX","HP-UX"]                           |
| "aviva uk:cvs groupfinance01 uka2 pre hps"              | 1                 | ["Windows"]                               |
| "aviva uk:ukdi motor call centre web q&b pre hps"       | 6                 | ["Windows"]                               |
| "aviva uk:ib vision pre hpg"                            | 1                 | ["AIX"]                                   |
| "aviva uk:respond (ukgi) prd hps(x)"                    | 1                 | ["Windows"]                               |
| "aviva uk:agency - ag prd hpp"                          | 1                 | ["z/OS"]                                  |
| "aviva uk:coast trading tool dev hpb"                   | 1                 | ["Windows"]                               |
| "aviva uk:tam 6 (ecommerce) dev hpg"                    | 3                 | ["AIX","Other"]                           |
| "aviva uk:jboss prd hps"                                | 5                 | ["Windows"]                               |
| "aviva uk:webseries dev hpb"                            | 2                 | ["Windows"]                               |
| "aviva uk:mso remoteware prd hps"                       | 10                | ["Windows"]                               |
| "aviva uk:sabre prd hpg"                                | 2                 | ["Windows"]                               |
| "aviva uk:respond (life) prd hps(x)"                    | 2                 | ["Windows"]                               |
| "aviva uk:internal portal dev hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:back up and storage infra (ai) npe hpb"       | 2                 | ["HP-UX"]                                 |
| "aviva uk:business objects (agc) pre hps"               | 3                 | ["Windows","VMWare"]                      |
| "aviva uk:sbc groupfinance01 prd hps"                   | 4                 | ["Windows"]                               |
| "aviva uk:altiris tst hps"                              | 1                 | ["Windows"]                               |
| "aviva uk:capes uat hpb"                                | 4                 | ["Windows"]                               |
| "aviva uk:bre (ukhe) dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:message broker dev hpg"                       | 1                 | ["Other"]                                 |
| "aviva uk:cffe dev hps"                                 | 2                 | ["z/OS"]                                  |
| "aviva uk:click on a doc dev hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:cps uat hps"                                  | 4                 | ["z/OS"]                                  |
| "aviva uk:common esb (ukl) tst hps"                     | 1                 | ["AIX"]                                   |
| "aviva uk:edi agency prd hpg"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:postx prd hpg(x)"                             | 3                 | ["Windows"]                               |
| "aviva uk:bob uat2 hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:m/f experian payments gateway prd hpg"        | 2                 | ["Windows"]                               |
| "aviva uk:tam 5 (ecommerce) pre hpg"                    | 5                 | ["Other","AIX"]                           |
| "aviva uk:tvas prd hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:galahad (gip) trn hpg"                        | 3                 | ["AIX","Other"]                           |
| "aviva uk:sql server management (ai) npe hps"           | 2                 | ["Windows"]                               |
| "aviva uk:administrator (ukhe) prd hps"                 | 2                 | ["Windows"]                               |
| "aviva uk:cma prd hpb"                                  | 2                 | ["Windows"]                               |
| "aviva uk:life70 york prd hpg"                          | 1                 | ["z/OS"]                                  |
| "aviva uk:virtual host dev hpb"                         | 5                 | ["VMWare"]                                |
| "aviva uk:pci dev hpb"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:guidewire claim center sit hps"               | 4                 | ["Linux"]                                 |
| "aviva uk:cmlp policy tracking prd hpp"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:gacs dev hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:print server poc hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:image prd hpp"                                | 2                 | ["z/OS"]                                  |
| "aviva uk:val98 (vs) prd hpg"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:tlm smartstream prd hps"                      | 4                 | ["Windows"]                               |
| "aviva uk:unisure uat hpg"                              | 1                 | ["Other"]                                 |
| "aviva uk:adviser portal (public) dev hps"              | 1                 | ["Windows"]                               |
| "aviva uk:doc gen uat hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:administrator (ukhe) dev hps"                 | 1                 | ["Windows"]                               |
| "aviva uk:sas (ukgi) dev hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:bre (life) prd hpg"                           | 13                | ["AIX","Other"]                           |
| "aviva uk:cvs infrastructure norwich uka2 prd hps"      | 5                 | ["Windows"]                               |
| "aviva uk:abacus dev hps"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:guidewire contact manager tst hps"            | 8                 | ["Linux","Windows","AIX"]                 |
| "aviva uk:investment & protection esb (ukl) uat hps"    | 1                 | ["AIX"]                                   |
| "aviva uk:my policy tst hpb"                            | 7                 | ["Windows"]                               |
| "aviva uk:tm1 bscf prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:cosmic claims uat hpg"                        | 2                 | ["AIX"]                                   |
| "aviva uk:appdna prd hps"                               | 1                 | ["VMWare"]                                |
| "aviva uk:oracle fin prd hpg"                           | 8                 | ["AIX","Other"]                           |
| "aviva uk:hp webjet admin prd hpg"                      | 1                 | ["Windows"]                               |
| "aviva uk:legal indemnity on-line (lion) pre hps"       | 2                 | ["Windows"]                               |
| "aviva uk:memo life prd hps"                            | 5                 | ["Windows"]                               |
| "aviva uk:sas compute prd hpg"                          | 1                 | ["Other"]                                 |
| "aviva uk:hawkeye prv hpb"                              | 1                 | ["AIX"]                                   |
| "aviva uk:fleet rmi dev hps"                            | 1                 | ["z/OS"]                                  |
| "aviva uk:cs heritage hand offs inbound prd hpg"        | 1                 | ["Windows"]                               |
| "aviva uk:assyst contact user feed prd hpb"             | 1                 | ["Windows"]                               |
| "aviva uk:ai ftp uatr hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:ukdi policy tracking (ned) prd hpp"           | 1                 | ["z/OS"]                                  |
| "aviva uk:sbc infrastructure dublin prd hpb"            | 6                 | ["Windows"]                               |
| "aviva uk:quad uat hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:sitestudio prd hps"                           | 4                 | ["Windows"]                               |
| "aviva uk:siebel 8 (ukhe) uat hpg"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:personal lines u/w authorities dev hps"       | 1                 | ["z/OS"]                                  |
| "aviva uk:adwl sql db tst hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:operational data store (ods) uat2 hps"        | 1                 | ["Windows"]                               |
| "aviva uk:hp performance centre prd hps(x)"             | 2                 | ["Windows"]                               |
| "aviva uk:prosper b2c life - tesco sit hps"             | 3                 | ["AIX","Other"]                           |
| "aviva uk:investment & protection wps (ukl) pre hpg"    | 4                 | ["AIX"]                                   |
| "aviva uk:total incident managemetn - sps uat hps"      | 1                 | ["z/OS"]                                  |
| "aviva uk:sas metadata dev hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:wps dev hpg"                                  | 3                 | ["AIX","Other"]                           |
| "aviva uk:party wps (ukl) prd hpg"                      | 5                 | ["AIX","Other"]                           |
| "aviva uk:pmi (ukgi) dev hpg(x)"                        | 2                 | ["Windows","Other"]                       |
| "aviva uk:oracle hr prd hpg"                            | 2                 | ["AIX"]                                   |
| "aviva uk:pulse dev hps"                                | 2                 | ["Windows"]                               |
| "aviva uk:axis (ukl) prd hps"                           | 3                 | ["Windows"]                               |
| "aviva uk:unisure ftp prd hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:netquotes uat hpb"                            | 2                 | ["AIX","Other"]                           |
| "aviva uk:red flag risks prd hpp"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:crs prd hpg"                                  | 1                 | ["Windows"]                               |
| "aviva uk:sam tst hps"                                  | 3                 | ["z/OS"]                                  |
| "aviva uk:sbc life01 prd hps"                           | 20                | ["Windows"]                               |
| "aviva uk:softphone wallboard dev hpb"                  | 1                 | ["Windows"]                               |
| "aviva uk:capes sit hpb"                                | 4                 | ["Windows"]                               |
| "aviva uk:message broker dev hps"                       | 3                 | ["Windows","Other"]                       |
| "aviva uk:livechat prd hpg"                             | 1                 | ["Windows"]                               |
| "aviva uk:acpm (ukhe) dev hps"                          | 2                 | ["z/OS"]                                  |
| "aviva uk:sales intelligence dev hpb"                   | 1                 | ["Windows"]                               |
| "aviva uk:property fund calculator prd hpg"             | 2                 | ["Windows"]                               |
| "aviva uk:aviva world prd hpb"                          | 8                 | ["Windows"]                               |
| "aviva uk:historical prices archive prd hpg"            | 2                 | ["Windows"]                               |
| "aviva uk:pension tracker (customer) prd hpg"           | 12                | ["AIX"]                                   |
| "aviva uk:tms - travel medical screening dev hps"       | 1                 | ["z/OS"]                                  |
| "aviva uk:gr smart dev hpb"                             | 1                 | ["Windows"]                               |
| "check point smartcnsle prd hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:pcm uat1 hpb"                                 | 1                 | ["Windows"]                               |
| "aviva uk:party esb (ukl) pre hpg"                      | 4                 | ["AIX"]                                   |
| "aviva uk:appsense prd hps(x)"                          | 2                 | ["Windows"]                               |
| "aviva uk:investment decision supp prd hpg"             | 1                 | ["Windows"]                               |
| "aviva uk:sas dwh (ukl) prd hps"                        | 2                 | ["Windows"]                               |
| "aviva uk:staff pensions sun accounts tst hpb"          | 2                 | ["Windows"]                               |
| "aviva uk:tmu prd hpb(x)"                               | 2                 | ["Windows"]                               |
| "aviva uk:mosaic prd hpp"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:datacap pre hps"                              | 19                | ["Windows","AIX"]                         |
| "aviva uk:oracle fin discoverer prd hps"                | 2                 | ["Other"]                                 |
| "aviva uk:cac - commission allocation prd hpg"          | 1                 | ["Windows"]                               |
| "aviva uk:business objects (ukgi) prd hpg"              | 3                 | ["Windows"]                               |
| "aviva uk:saleslogix prd hpg"                           | 2                 | ["Windows"]                               |
| "aviva uk:siebel 8 systhink pre hps"                    | 1                 | ["Windows"]                               |
| "aviva uk:tam-sso (desktop) pre hps(x)"                 | 4                 | ["Windows"]                               |
| "aviva uk:sbc healthcare01-spire prd hps"               | 1                 | ["Windows"]                               |
| "aviva uk:sas dwh (ukl) prd hps(x)"                     | 1                 | ["Windows"]                               |
| "aviva uk:lcs prd hps"                                  | 3                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - barclays prv hps"          | 9                 | ["Linux","AIX","Other"]                   |
| "aviva uk:gas dev hpb"                                  | 1                 | ["Windows"]                               |
| "aviva uk:bre (ukhe) uat hpg"                           | 3                 | ["AIX","Other"]                           |
| "aviva uk:midrange server management prd hpb"           | 14                | ["AIX","HP-UX"]                           |
| "aviva uk:etl informatica (ukl) prd hps"                | 4                 | ["AIX","Other"]                           |
| "aviva uk:midrange qas prd hpb"                         | 2                 | ["HP-UX"]                                 |
| "aviva uk:mainframe server management tst hpb(x)"       | 4                 | ["z/OS"]                                  |
| "aviva uk:asc magnum tst hpb"                           | 2                 | ["Windows"]                               |
| "aviva uk:blast dev hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:hardware management prd hps(x)"               | 2                 | ["Other","Windows"]                       |
| "aviva uk:message broker prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:upp pricing datamarts uat hpg"                | 3                 | ["AIX","Other"]                           |
| "aviva uk:leeds cp pre hps"                             | 2                 | ["Windows"]                               |
| "aviva uk:bre (life) dev hpg"                           | 4                 | ["AIX","Other"]                           |
| "aviva uk:tape services prd hpg"                        | 72                | ["Other"]                                 |
| "aviva uk:first direct home prv hps"                    | 1                 | ["Windows"]                               |
| "aviva uk:integrated medical screening sit hps(x)"      | 3                 | ["z/OS"]                                  |
| "aviva uk:aperture dev hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:print server prd hpb(x)"                      | 8                 | ["Windows"]                               |
| "aviva uk:aviva card secure sit hpb"                    | 1                 | ["Windows"]                               |
| "aviva uk:af web service gateway uat hpb"               | 2                 | ["Linux","AIX"]                           |
| "aviva uk:dialogue (ukgi) prd hpp"                      | 4                 | ["z/OS"]                                  |
| "aviva uk:sql server management hpg"                    | 56                | ["Windows"]                               |
| "aviva uk:icms prd hpp"                                 | 2                 | ["z/OS"]                                  |
| "aviva uk:siebel 8 (ukhe) sit hpg"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:emblem prd hps(x)"                            | 15                | ["Windows"]                               |
| "aviva uk:midrange dns prd hpg"                         | 6                 | ["Windows","Other","AIX"]                 |
| "aviva uk:polisy dev hps"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:hpsim prd hpg"                                | 2                 | ["Windows"]                               |
| "aviva uk:sms broker dev hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:oracle dwh (ukl) dev hpb"                     | 3                 | ["AIX","Other"]                           |
| "aviva uk:homeset web service prd hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:sbc infrastructure norwich prd hps(x)"        | 7                 | ["Windows"]                               |
| "aviva uk:business objects (life) prd hpg(x)"           | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal (secure) prd hpg"              | 15                | ["AIX","Other"]                           |
| "aviva uk:oracle real-time scheduler (ors) tst hpb"     | 2                 | ["#UNDEFINED#"]                           |
| "aviva uk:qspf prd hpg"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:rational prd hps"                             | 2                 | ["Windows"]                               |
| "aviva uk:customer innovation centre mgt prd hps"       | 10                | ["Windows"]                               |
| "aviva uk:seps prd hpp"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:lotus notes uat hps"                          | 2                 | ["Windows"]                               |
| "aviva uk:cyber-ark uat1 hpb"                           | 3                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) pre hps"          | 4                 | ["AIX"]                                   |
| "aviva uk:enquiry systems (eq) prd hpg"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:sanctuary (ai) prd hpg"                       | 2                 | ["Windows"]                               |
| "aviva uk:fs1 lockbox tst hps"                          | 1                 | ["Windows"]                               |
| "aviva uk:trackpoint dev hpb"                           | 2                 | ["Windows"]                               |
| "aviva uk:sas web olap viewer pre hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:common esb (ukl) uat hpb"                     | 3                 | ["Linux"]                                 |
| "aviva uk:eservices prd hs hps"                         | 1                 | ["AIX"]                                   |
| "aviva uk:sas v8 uat hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:oracle fin isupp tst hpb"                     | 4                 | ["AIX"]                                   |
| "aviva uk:jboss pre hps"                                | 4                 | ["Windows"]                               |
| "aviva uk:bmmi dev hps"                                 | 3                 | ["z/OS"]                                  |
| "aviva uk:respond (life) dev hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:investment & protection esb (ukl) dev hpb"    | 3                 | ["Linux"]                                 |
| "aviva uk:customer innovation centre mgt dev hps"       | 9                 | ["Windows"]                               |
| "aviva uk:tam 6 (webseal) dev hps"                      | 3                 | ["Other","AIX"]                           |
| "aviva uk:sas v9 hc dev hps(x)"                         | 3                 | ["Windows"]                               |
| "aviva uk:coast trading tool tst hpb"                   | 2                 | ["Windows"]                               |
| "aviva uk:bre (ukhe) sit hpg"                           | 4                 | ["AIX","Other"]                           |
| "aviva uk:heritage tst hps(x)"                          | 1                 | ["Windows"]                               |
| "aviva uk:sas web report viewer pre hps"                | 1                 | ["Windows"]                               |
| "aviva uk:bladelogic dev hpb"                           | 3                 | ["Windows"]                               |
| "aviva uk:grit tst hpg"                                 | 1                 | ["Other"]                                 |
| "aviva uk:asc magnum prd hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:crab prd hps"                                 | 3                 | ["Windows"]                               |
| "aviva uk:customer value management dev hpb"            | 8                 | ["AIX","Other"]                           |
| "aviva uk:pension & annuity esb (ukl) tst hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:pra viewer dev hpg"                           | 2                 | ["Windows"]                               |
| "aviva uk:4sight securities fin dr hps"                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:citrix infrastructure (ai) prd hps"           | 2                 | ["Windows"]                               |
| "aviva uk:cpl prd hpg(x)"                               | 2                 | ["Windows"]                               |
| "aviva uk:wsrte pre hpg"                                | 2                 | ["Windows"]                               |
| "aviva uk:prosper b2c life - tesco prv hps"             | 4                 | ["Linux","AIX","Other"]                   |
| "aviva uk:system arch encyc mgr (ai) prd hpg"           | 2                 | ["Windows"]                               |
| "aviva uk:sms messenger prd hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:tim5 dev hpg"                                 | 3                 | ["AIX"]                                   |
| "aviva uk:exceed campaign manager dev hps"              | 1                 | ["z/OS"]                                  |
| "aviva uk:nuqleus-3d dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:group ftp prd hps(x)"                         | 2                 | ["Windows"]                               |
| "aviva uk:mosaic prd hps"                               | 2                 | ["Windows"]                               |
| "aviva uk:tam 5 (ecommerce) pre hps"                    | 14                | ["Windows"]                               |
| "aviva uk:internal portal prd hpg"                      | 13                | ["AIX","Other"]                           |
| "aviva uk:radar (ukgi rtpo) prd hpg"                    | 8                 | ["Windows"]                               |
| "aviva uk:af support uat hpb"                           | 2                 | ["AIX","Other"]                           |
| "aviva uk:on demand prd hps"                            | 1                 | ["AIX"]                                   |
| "aviva uk:efront uat2 hpb"                              | 5                 | ["Windows"]                               |
| "aviva uk:ukdi travel quote & buy dev hps"              | 1                 | ["Windows"]                               |
| "aviva uk:sas olap cubes studio prd hps"                | 2                 | ["Windows"]                               |
| "aviva uk:product catalogue uat hps"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:homeset web service dev hps"                  | 1                 | ["Windows"]                               |
| "aviva uk:first direct travel uat hpb"                  | 2                 | ["Windows"]                               |
| "aviva uk:cffe prd hpp"                                 | 4                 | ["z/OS"]                                  |
| "aviva uk:business objects (ukgi) prd hps(x)"           | 4                 | ["Windows"]                               |
| "aviva uk:print reconciliation prd hpg"                 | 3                 | ["z/OS"]                                  |
| "aviva uk:flexera adminstudio dev hpb"                  | 3                 | ["Windows"]                               |
| "aviva uk:business objects (ukgi) prd hpg(x)"           | 10                | ["Windows"]                               |
| "aviva uk:oracle fin soa dev hpb"                       | 2                 | ["AIX","Other"]                           |
| "aviva uk:print reconciliation prd hpp"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:exceed claims trn hps(x)"                     | 3                 | ["z/OS"]                                  |
| "aviva uk:wps prd hpg(x)"                               | 2                 | ["AIX"]                                   |
| "aviva uk:dhs hospitality web prd hpg"                  | 1                 | ["Windows"]                               |
| "aviva uk:connect direct tst hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:ftii uat hps"                                 | 3                 | ["z/OS"]                                  |
| "aviva uk:flex time recording prd hpp"                  | 1                 | ["z/OS"]                                  |
| "aviva uk:legal work tracking uat hpb"                  | 2                 | ["Windows"]                               |
| "aviva uk:first direct home tst hpb"                    | 8                 | ["Windows"]                               |
| "aviva uk:qpc mig screen pop client dev hpb"            | 2                 | ["Windows"]                               |
| "aviva uk:solar dev hps"                                | 1                 | ["Windows"]                               |
| "aviva uk:it service catalogue prd hps"                 | 1                 | ["Windows"]                               |
| "aviva uk:spotlight prd hpp"                            | 4                 | ["AIX"]                                   |
| "aviva uk:intraquotes dev hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:sbc infrastructure norwich pre hps"           | 4                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - santander pre hpg"         | 8                 | ["AIX"]                                   |
| "aviva uk:seps prd hpg"                                 | 3                 | ["Windows"]                               |
| "aviva uk:appsense prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:business objects (agc) pre hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:netquotes sit hpb"                            | 1                 | ["AIX"]                                   |
| "aviva uk:complex commercial price calc pre hpb"        | 1                 | ["Windows"]                               |
| "aviva uk:pulse  uat hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:assyst net pre hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:tim5 prd hpg"                                 | 15                | ["AIX","Other"]                           |
| "aviva uk:hp data protector prd hpb"                    | 11                | ["Other"]                                 |
| "aviva uk:addacs prd hpg"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:message broker (ai) prd hpg"                  | 2                 | ["SunOS/Solaris"]                         |
| "aviva uk:ukdi motor quote & buy pre hps"               | 6                 | ["Windows"]                               |
| "aviva uk:dos winapps prd hps"                          | 1                 | ["Windows"]                               |
| "aviva uk:dialogue (life) uat hps"                      | 1                 | ["Windows"]                               |
| "aviva uk:sql server management hps"                    | 26                | ["Windows"]                               |
| "aviva uk:aquadata uat hps"                             | 1                 | ["z/OS"]                                  |
| "aviva uk:heritage prd hpg(x)"                          | 1                 | ["Windows"]                               |
| "aviva uk:exceed claims prd hps(x)"                     | 11                | ["Windows","z/OS"]                        |
| "aviva uk:build management tst hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:oracle hyperion planning dev hpb"             | 6                 | ["Windows"]                               |
| "aviva uk:electronic collections uat hps"               | 1                 | ["z/OS"]                                  |
| "aviva uk:red flag risks dev hps"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:crisp uat hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:asc mq pre hps"                               | 4                 | ["Windows","AIX"]                         |
| "aviva uk:your reports tst hpb"                         | 1                 | ["Windows"]                               |
| "aviva uk:spotlight prd hpg"                            | 3                 | ["AIX","Other"]                           |
| "aviva uk:sms messenger dev hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:leeds cp uat hpb"                             | 2                 | ["Windows"]                               |
| "aviva uk:cvh uat hps"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:investment & protection esb (ukl) sit hps"    | 3                 | ["AIX","Other"]                           |
| "aviva uk:sbc itsupport pre hps"                        | 2                 | ["Windows"]                               |
| "aviva uk:customer portal prv hpg"                      | 1                 | ["Windows"]                               |
| "aviva uk:dms prd hpp"                                  | 1                 | ["z/OS"]                                  |
| "aviva uk:business objects (agc) tst hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:customer portal prv hpp"                      | 1                 | ["AIX"]                                   |
| "aviva uk:complex commercial price calc tst hpb"        | 4                 | ["Windows"]                               |
| "aviva uk:my policy prd hps"                            | 11                | ["Windows","VMWare"]                      |
| "aviva uk:hpi cache prd hpg"                            | 2                 | ["Windows"]                               |
| "aviva uk:sas olap cubes studio dev hps"                | 2                 | ["Windows"]                               |
| "aviva uk:content manager tst hps"                      | 1                 | ["z/OS"]                                  |
| "aviva uk:outbound proxy (ai) prd hpg"                  | 1                 | ["Windows"]                               |
| "aviva uk:virtual management prd hpg"                   | 23                | ["Windows","VMWare"]                      |
| "aviva uk:livechat prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:disclosure management dev hpb"                | 2                 | ["Windows"]                               |
| "aviva uk:oracle fin tst hpg"                           | 2                 | ["AIX"]                                   |
| "aviva uk:sales intelligence tst hpb"                   | 2                 | ["Windows"]                               |
| "aviva uk:sas metadata prd hpg"                         | 1                 | ["Windows"]                               |
| "aviva uk:tivoli monitoring prd hps(x)"                 | 17                | ["AIX","Windows"]                         |
| "aviva uk:websphere business monitor sit hps"           | 2                 | ["AIX","Other"]                           |
| "aviva uk:lotus notes prd hpb"                          | 5                 | ["Windows"]                               |
| "aviva uk:common esb (ukl) pre hpg"                     | 4                 | ["AIX"]                                   |
| "aviva uk:pulse prd hpg"                                | 4                 | ["Windows"]                               |
| "aviva uk:nightwatchman (ai) prd hpg"                   | 3                 | ["Windows"]                               |
| "aviva uk:ukgi bucket hp hs"                            | 55                | ["Windows","AIX","VMWare"]                |
| "aviva uk:guidewire policy center dev hpb"              | 2                 | ["Windows"]                               |
| "aviva uk:midrange kickstart prd hps"                   | 2                 | ["Linux"]                                 |
| "aviva uk:base rate tracker prd hps"                    | 3                 | ["Windows"]                               |
| "aviva uk:message broker prd hpg"                       | 12                | ["Windows","AIX","Other"]                 |
| "aviva uk:galahad (gip) uat hpg"                        | 3                 | ["AIX","Other"]                           |
| "aviva uk:magnitude cartesis finance tst hps"           | 4                 | ["AIX","Windows"]                         |
| "aviva uk:tam-sso (desktop) pre hpb"                    | 2                 | ["Windows"]                               |
| "aviva uk:cvm tracker prd hps"                          | 3                 | ["Windows"]                               |
| "aviva uk:exceed policy trn hps"                        | 5                 | ["Windows"]                               |
| "aviva uk:tdi6 uat hps"                                 | 1                 | ["AIX"]                                   |
| "aviva uk:wintel shared app (ai) npe hps"               | 2                 | ["Windows"]                               |
| "aviva uk:orderit dev hpg"                              | 1                 | ["Windows"]                               |
| "aviva uk:netquotes prv hpb"                            | 3                 | ["AIX","Other"]                           |
| "aviva uk:upp claims analytics uat hps"                 | 1                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - barclays dev hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:pluto uat hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:axis (ukl) prd hpg"                           | 2                 | ["Windows"]                               |
| "aviva uk:siebel 8 systhink pre hpg"                    | 3                 | ["AIX","Other"]                           |
| "aviva uk:adviser portal (public) prd hpg"              | 15                | ["AIX","Windows"]                         |
| "aviva uk:datacap trn hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:corporate admin system uat hpg"               | 1                 | ["Other"]                                 |
| "aviva uk:odr uat2 hpb"                                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:guidewire contact manager pre hpg"            | 10                | ["Linux"]                                 |
