Full Node Name|System Group Name|System Group Type
uknwsvuaa473.via.novonet|UKGI|customer business unit
uknwsvuaa474.via.novonet|HPSA|reporting
uknwsvuaa474.via.novonet|UKGI|customer business unit
uknwsvuaa475.via.novonet|HPSA|reporting
uknwsvuaa475.via.novonet|UKGI|customer business unit
uknwsvuaa476.via.novonet|HPSA|reporting
uknwsvuaa476.via.novonet|UKGI|customer business unit
uknwsvuaa477.via.novonet|HPSA|reporting
uknwsvuaa477.via.novonet|UKGI|customer business unit
uknwsvuaa478.via.novonet|HPSA|reporting
uknwsvuaa478.via.novonet|UKGI|customer business unit
uknwsvuaa479.via.novonet|HPSA|reporting
uknwsvuaa479.via.novonet|UKGI|customer business unit
uknwsvuaa480.via.novonet|HPSA|reporting
uknwsvuaa480.via.novonet|UKGI|customer business unit
uknwsvuaa481.via.novonet|HPSA|reporting
uknwsvuaa481.via.novonet|UK HEALTHCARE|customer business unit
uknwsvuaa482.via.novonet|HPSA|reporting
uknwsvuaa482.via.novonet|UK HEALTHCARE|customer business unit
uknwsvuaa483.via.novonet|HPSA|reporting
uknwsvuaa483.via.novonet|UK HEALTHCARE|customer business unit
uknwsvuaa484.via.novonet|HPSA|reporting
uknwsvuaa484.via.novonet|UKITS|customer business unit
uknwsvuaa485.via.novonet|HPSA|reporting
uknwsvuaa485.via.novonet|UKITS|customer business unit
uknwsvuaa486.via.novonet|HPSA|reporting
uknwsvuaa486.via.novonet|UKITS|customer business unit
uknwsvuaa487.via.novonet|HPSA|reporting
uknwsvuaa487.via.novonet|UKITS|customer business unit
uknwsvuaa488.via.novonet|HPSA|reporting
uknwsvuaa488.via.novonet|UKITS|customer business unit
uknwsvuaa489.via.novonet|HPSA|reporting
uknwsvuaa489.via.novonet|UKITS|customer business unit
uknwsvuaa490.via.novonet|HPSA|reporting
uknwsvuaa490.via.novonet|UKITS|customer business unit
uknwsvuaa491.via.novonet|HPSA|reporting
uknwsvuaa491.via.novonet|UKITS|customer business unit
uknwsvuaa492.via.novonet|HPSA|reporting
uknwsvuaa492.via.novonet|UKITS|customer business unit
uknwsvuaa493.via.novonet|HPSA|reporting
uknwsvuaa493.via.novonet|UKITS|customer business unit
uknwsvuaa494.via.novonet|HPSA|reporting
uknwsvuaa494.via.novonet|UKITS|customer business unit
uknwsvuaa495.via.novonet|HPSA|reporting
uknwsvuaa495.via.novonet|UKITS|customer business unit
uknwsvuaa499.via.novonet|HPSA|reporting
uknwsvuaa499.via.novonet|UKL|customer business unit
uknwsvuaa500.via.novonet|HPSA|reporting
uknwsvuaa500.via.novonet|UKL|customer business unit
uknwsvuaa501.via.novonet|HPSA|reporting
uknwsvuaa501.via.novonet|UKL|customer business unit
uknwsvuaa502.via.novonet|HPSA|reporting
uknwsvuaa502.via.novonet|UKL|customer business unit
uknwsvuaa503.via.novonet|HPSA|reporting
uknwsvuaa503.via.novonet|UKL|customer business unit
uknwsvuaa506.via.novonet|HPSA|reporting
uknwsvuaa506.via.novonet|UKITS|customer business unit
uknwsvuaa507.via.novonet|HPSA|reporting
uknwsvuaa507.via.novonet|UKITS|customer business unit
uknwsvuaa508.via.novonet|HPSA|reporting
uknwsvuaa508.via.novonet|UKITS|customer business unit
uknwsvuaa509.via.novonet|HPSA|reporting
uknwsvuaa509.via.novonet|UKITS|customer business unit
uknwsvuaa510.via.novonet|HPSA|reporting
uknwsvuaa510.via.novonet|UKITS|customer business unit
uknwsvuaa511.via.novonet|HPSA|reporting
uknwsvuaa511.via.novonet|UKITS|customer business unit
uknwsvuaa512.via.novonet|HPSA|reporting
uknwsvuaa512.via.novonet|UKITS|customer business unit
uknwsvuaa513.via.novonet|HPSA|reporting
uknwsvuaa513.via.novonet|UKITS|customer business unit
uknwsvuaa514.via.novonet|HPSA|reporting
uknwsvuaa514.via.novonet|UKITS|customer business unit
uknwsvuaa515.via.novonet|HPSA|reporting
uknwsvuaa515.via.novonet|UKITS|customer business unit
uknwsvuaa516.via.novonet|HPSA|reporting
