Full Node Name|Inventory ID|Latest RIM Connect|Latest RIM Load|browser status
025fv1b.via.novonet||||
025fv2b.via.novonet||||
026fv1c.via.novonet||||
026fv2c.via.novonet||||
143dv1c.via.novonet||||
143dv2c.via.novonet||||
22bdv1b.via.novonet||||
22bdv2b.via.novonet||||
3590-manual ctl.via.novonet||||
3590-manual dr0.via.novonet||||
3590-manual dr1.via.novonet||||
3838143.via.novonet||||
3838421.via.novonet||||
3838422.via.novonet||||
3fbdv1b.via.novonet||||
3fbdv2b.via.novonet||||
5b4dv1c.via.novonet||||
5b4dv2c.via.novonet||||
5b5dv1b.via.novonet||||
5b5dv2b.via.novonet||||
5b6dv1b.via.novonet||||
5b6dv2b.via.novonet||||
5b7dv1c.via.novonet||||
5b7dv2c.via.novonet||||
9309 rack.via.novonet||||
appl146a.via.novonet|QY7X2GOTWTHRHN7MTIHEQO35YY|2013-12-08 02:49:00|2013-12-10 03:59:00|
appl147a.via.novonet|GMQDFZ6OO26XHPYPWRMBJJTPX4|2013-12-08 03:34:00|2013-12-10 03:59:00|
appl148a.via.novonet|C56PP7LOC6FWSA7332IQW6Y44M|2013-12-08 03:16:00|2013-12-10 03:59:00|
appl149a.via.novonet|LCITCNXMHNQSIOXFWSGF67BYWU|2013-12-08 02:10:00|2013-12-10 03:59:00|
appl150a.via.novonet|RFJVCVMRIGQDGMWQDIWZWJCQN4|2013-12-08 03:14:00|2013-12-10 03:59:00|
appl152a.via.novonet|PKJTYX3TE3C4PBZW6BPYLZICNI|2013-12-08 03:55:00|2013-12-10 03:59:00|
appl153a.via.novonet|VJ2QX7L6YPUZIFZGJD4GUFT2DU|2013-12-08 02:03:00|2013-12-10 03:59:00|PROD
appl154a.via.novonet|R2WMBY2SWV6QDHZZ527DSERTKE|2013-12-08 02:42:00|2013-12-10 03:59:00|PROD
appl155a.via.novonet|ZKSSZP6ENOJPKNCKIKFGR6KOSA|2013-12-08 04:01:00|2013-12-10 03:59:00|PROD
appl158a.via.novonet|NCISHQIMPIQ7VLCQ5Q4X5NMOM4|2013-12-08 03:22:00|2013-12-10 03:59:00|RTP
appl159a.via.novonet|WXL6VZBJUI4WZWL34F2BVFLMDQ|2013-12-08 02:07:00|2013-12-10 03:59:00|PROD
appl161a.via.novonet|EY2LYYNGD3BVGWIKD6Q6JXNZBA|2013-12-08 02:07:00|2013-12-10 03:59:00|PROD
appl162a.via.novonet|4UH7LQ4YMXCIGX5RAPFM2W64QM|2013-12-08 02:30:00|2013-12-10 03:59:00|PROD
appl165a.via.novonet|THLR5BO5ERLGIOROPWOR6GDMY4|2013-12-08 03:10:00|2013-12-10 03:59:00|
