Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:oracle hr dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR49D ORADB
aviva uk:oracle hr discoverer dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR49D ORADB
aviva uk:siebel 8 (ukhe) dev hpg|ukhacn424 cluster.via.novonet|oracle single instance|IHS01D ORADB
aviva uk:siebel 8 (ukhe) prd hps|ukhacn443 cluster.via.novonet|oracle single instance|IHS01P ORADB
aviva uk:siebel 8 (ukhe) pre hps|ukhacn442 cluster.via.novonet|oracle single instance|IHS01R ORADB
aviva uk:siebel 8 (ukhe) dev hpg|ukhacn424 cluster.via.novonet|oracle single instance|IHS01S ORADB
aviva uk:siebel 8 (ukhe) tst hps|ukhacn424 cluster.via.novonet|oracle single instance|IHS01T ORADB
aviva uk:siebel 8 (ukhe) dev hps|ukhacn424 cluster.via.novonet|oracle single instance|IHS01U ORADB
aviva uk:siebel 8 (ukhe) dev hpg|ukhacn424 cluster.via.novonet|oracle single instance|IHS02D ORADB
aviva uk:siebel 8 (ukhe) dev hps|ukhacn424 cluster.via.novonet|oracle single instance|IHS03D ORADB
aviva uk:hyperion financial management dev hps|ukncsaviv508.via.novonet|oracle single instance|IHY01D ORADB
aviva uk:system management (oracle) dev hpg|trafalgar cluster.via.novonet|oracle single instance|ILD01P ORADB
aviva uk:system management (oracle) dev hps|ukhacn435 cluster.via.novonet|oracle single instance|ILD11D ORADB
aviva uk:system management (oracle) dev hps|ukhacn435 cluster.via.novonet|oracle single instance|ILD12D ORADB
aviva uk:system management (oracle) dev hps|uknwsaviv689.via.novonet|oracle single instance|ILD13D ORADB
aviva uk:system management (oracle) dev hps|ukhacn435 cluster.via.novonet|oracle single instance|ILD14D ORADB
aviva uk:midrange dns prd hpg|sys_mgt cluster.via.novonet|oracle single instance|ILDAP01P ORADB
aviva uk:midrange dns prd hpg|sys_mgt cluster.via.novonet|oracle single instance|ILDAP02P ORADB
aviva uk:muppet dev hpg|invincible cluster.via.novonet|oracle single instance|ILU11D ORADB
aviva uk:pdt dev hpg|invincible cluster.via.novonet|oracle single instance|ILU11D ORADB
aviva uk:box management prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11P ORADB
aviva uk:muppet prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11P ORADB
aviva uk:pdt prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11P ORADB
aviva uk:muppet prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11S ORADB
aviva uk:pdt tst hpg|invincible cluster.via.novonet|oracle single instance|ILU11S ORADB
aviva uk:muppet prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11T ORADB
aviva uk:pdt sit hpg|invincible cluster.via.novonet|oracle single instance|ILU11T ORADB
aviva uk:muppet prd hpg(x)|invincible cluster.via.novonet|oracle single instance|ILU11U ORADB
aviva uk:pdt uat hpg|invincible cluster.via.novonet|oracle single instance|ILU11U ORADB
aviva uk:box management dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU21D ORADB
aviva uk:muppet dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU21D ORADB
aviva uk:box management prd hpg|ukhacn471 cluster.via.novonet|oracle single instance|ILU21P ORADB
aviva uk:muppet prd hpg|ukhacn471 cluster.via.novonet|oracle single instance|ILU21P ORADB
aviva uk:box management dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU22D ORADB
aviva uk:muppet dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU22D ORADB
aviva uk:box management dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU23D ORADB
aviva uk:muppet dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU23D ORADB
aviva uk:box management dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU24D ORADB
aviva uk:muppet dev hpb|ukhacnc57 cluster.via.novonet|oracle single instance|ILU24D ORADB
aviva uk:midrange server management poc hpb|uknwsavix105.via.novonet|oracle single instance|ILX11C_W ORADB
aviva uk:account matching prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:annuity (ar) prd hpp|ibma.via.novonet|ims/db|IMP2
